label,folder_id,class,readable,count,percent,tier
0,161,ก,ก,100,1.8628912071535022,>=200
27,192,ภ,ภ,100,1.8628912071535022,>=200
29,194,ย,ย,100,1.8628912071535022,>=200
30,195,ร,ร,100,1.8628912071535022,>=200
32,197,ล,ล,100,1.8628912071535022,>=200
33,199,ว,ว,100,1.8628912071535022,>=200
35,201,ษ,ษ,100,1.8628912071535022,>=200
1,162,ข,ข,100,1.8628912071535022,>=200
37,203,ห,ห,100,1.8628912071535022,>=200
39,205,อ,อ,100,1.8628912071535022,>=200
42,209,ั,-ั (ไม้หันอากาศ),100,1.8628912071535022,>=200
43,210,า,-า (สระอา),100,1.8628912071535022,>=200
45,213,ี,-ี (สระอี),100,1.8628912071535022,>=200
48,216,ุ,-ุ (สระอุ),100,1.8628912071535022,>=200
49,217,ู,-ู (สระอู),100,1.8628912071535022,>=200
50,224,เ,เ,100,1.8628912071535022,>=200
52,226,โ,โ,100,1.8628912071535022,>=200
53,227,ใ,ใ,100,1.8628912071535022,>=200
54,228,ไ,ไ,100,1.8628912071535022,>=200
55,229,ๅ,ๅ (ลากข้าง),100,1.8628912071535022,>=200
56,230,ๆ,ๆ (ไม้ยมก),100,1.8628912071535022,>=200
57,231,็,-็ (ไม้ไต่คู้),100,1.8628912071535022,>=200
58,232,่,-่ (ไม้เอก),100,1.8628912071535022,>=200
59,233,้,-้ (ไม้โท),100,1.8628912071535022,>=200
61,236,์,-์ (ทัณฑฆาต),100,1.8628912071535022,>=200
28,193,ม,ม,100,1.8628912071535022,>=200
36,202,ส,ส,100,1.8628912071535022,>=200
14,179,ณ,ณ,100,1.8628912071535022,>=200
25,190,พ,พ,100,1.8628912071535022,>=200
15,180,ด,ด,100,1.8628912071535022,>=200
16,181,ต,ต,100,1.8628912071535022,>=200
9,173,ญ,ญ,100,1.8628912071535022,>=200
8,171,ซ,ซ,100,1.8628912071535022,>=200
17,182,ถ,ถ,100,1.8628912071535022,>=200
7,170,ช,ช,100,1.8628912071535022,>=200
18,183,ท,ท,100,1.8628912071535022,>=200
19,184,ธ,ธ,100,1.8628912071535022,>=200
20,185,น,น,100,1.8628912071535022,>=200
5,168,จ,จ,100,1.8628912071535022,>=200
21,186,บ,บ,100,1.8628912071535022,>=200
22,187,ป,ป,100,1.8628912071535022,>=200
4,167,ง,ง,100,1.8628912071535022,>=200
23,188,ผ,ผ,100,1.8628912071535022,>=200
3,164,ค,ค,100,1.8628912071535022,>=200
11,176,ฐ,ฐ,100,1.8628912071535022,>=200
26,191,ฟ,ฟ,98,1.825633383010432,50-199
34,200,ศ,ศ,92,1.713859910581222,50-199
62,240,๐,๐,83,1.5461997019374067,50-199
47,215,ื,-ื (สระอือ),58,1.0804769001490313,20-49
60,234,๊,-๊ (ไม้ตรี),49,0.912816691505216,<20
13,178,ฒ,ฒ,48,0.8941877794336811,<20
44,212,ิ,-ิ (สระอิ),47,0.875558867362146,<20
63,241,๑,๑,46,0.856929955290611,<20
6,169,ฉ,ฉ,43,0.8010432190760061,<20
64,242,๒,๒,39,0.7265275707898659,<20
24,189,ฝ,ฝ,37,0.6892697466467959,<20
10,175,ฏ,ฏ,32,0.5961251862891207,<20
70,248,๘,๘,27,0.5029806259314455,<20
65,243,๓,๓,23,0.4284649776453055,<20
51,225,แ,แ,21,0.3912071535022355,<20
41,207,ฯ,ฯ (ไปยาลน้อย),20,0.37257824143070045,<20
67,245,๕,๕,17,0.31669150521609535,<20
66,244,๔,๔,16,0.29806259314456035,<20
71,249,๙,๙,14,0.26080476900149036,<20
46,214,ึ,-ึ (สระอึ),14,0.26080476900149036,<20
31,196,ฤ,ฤ,13,0.24217585692995527,<20
68,246,๖,๖,12,0.22354694485842028,<20
40,206,ฮ,ฮ,10,0.18628912071535023,<20
69,247,๗,๗,4,0.07451564828614009,<20
38,204,ฬ,ฬ,3,0.05588673621460507,<20
2,163,ฃ,ฃ,1,0.018628912071535022,<20
12,177,ฑ,ฑ,1,0.018628912071535022,<20
