class,raw,train,val,aug
ก,100,80,20,0
ข,100,80,20,0
ฃ,1,80,1,80
ค,100,80,20,0
ง,100,80,20,0
จ,100,80,20,0
ฉ,43,80,9,46
ช,100,80,20,0
ซ,100,80,20,0
ญ,100,80,20,0
ฏ,32,80,6,54
ฐ,100,80,20,0
ฑ,1,80,1,80
ฒ,48,80,10,42
ณ,100,80,20,0
ด,100,80,20,0
ต,100,80,20,0
ถ,100,80,20,0
ท,100,80,20,0
ธ,100,80,20,0
น,100,80,20,0
บ,100,80,20,0
ป,100,80,20,0
ผ,100,80,20,0
ฝ,37,80,7,50
พ,100,80,20,0
ฟ,98,80,20,2
ภ,100,80,20,0
ม,100,80,20,0
ย,100,80,20,0
ร,100,80,20,0
ฤ,13,80,3,70
ล,100,80,20,0
ว,100,80,20,0
ศ,92,80,18,6
ษ,100,80,20,0
ส,100,80,20,0
ห,100,80,20,0
ฬ,3,80,1,78
อ,100,80,20,0
ฮ,10,80,2,72
ฯ,20,80,4,64
ั,100,80,20,0
า,100,80,20,0
ิ,47,80,9,42
ี,100,80,20,0
ึ,14,80,3,69
ื,58,80,12,34
ุ,100,80,20,0
ู,100,80,20,0
เ,100,80,20,0
แ,21,80,4,63
โ,100,80,20,0
ใ,100,80,20,0
ไ,100,80,20,0
ๅ,100,80,20,0
ๆ,100,80,20,0
็,100,80,20,0
่,100,80,20,0
้,100,80,20,0
๊,49,80,10,41
์,100,80,20,0
๐,83,80,17,14
๑,46,80,9,43
๒,39,80,8,49
๓,23,80,5,62
๔,16,80,3,67
๕,17,80,3,66
๖,12,80,2,70
๗,4,80,1,77
๘,27,80,5,58
๙,14,80,3,69
