class,nearest,similarity,recall,train_n
า,ๅ,0.9344984,0.6,80
ๅ,า,0.9344984,0.85,80
ช,ซ,0.8411987,0.85,80
ซ,ช,0.8411987,0.8,80
็,๘,0.81157017,1.0,80
๘,็,0.81157017,0.2,80
ื,ึ,0.72170675,0.5833333333333334,80
ึ,ื,0.72170675,0.3333333333333333,80
ี,ึ,0.71334624,0.85,80
ณ,ญ,0.706681,0.95,80
ญ,ณ,0.706681,1.0,80
แ,น,0.6637904,1.0,80
น,แ,0.6637904,1.0,80
ู,ฃ,0.6409075,0.7,80
ฃ,ู,0.6409075,0.0,80
ค,ด,0.6325755,0.9,80
ด,ค,0.6325755,0.8,80
ถ,ญ,0.631572,1.0,80
ั,้,0.6254426,0.85,80
้,ั,0.6254426,0.85,80
ฝ,ผ,0.60455585,1.0,80
ผ,ฝ,0.60455585,1.0,80
ต,ด,0.60149336,0.9,80
ิ,ี,0.5991446,1.0,80
ฉ,น,0.57905805,1.0,80
่,ู,0.5666701,1.0,80
ฐ,จ,0.563234,0.95,80
จ,ฐ,0.563234,1.0,80
ใ,ไ,0.5560261,1.0,80
ไ,ใ,0.5560261,1.0,80
พ,ห,0.5533371,1.0,80
ห,พ,0.5533371,0.8,80
บ,ฃ,0.53403926,0.95,80
๙,๕,0.52861416,1.0,80
๕,๙,0.52861416,1.0,80
ภ,ร,0.52218795,1.0,80
ร,ภ,0.52218795,0.95,80
ท,ห,0.51879,0.85,80
ฑ,ท,0.5172544,1.0,80
ฒ,ณ,0.5151558,1.0,80
๔,๙,0.5142665,1.0,80
ธ,ฐ,0.51352304,0.95,80
์,็,0.5070458,0.95,80
ว,ร,0.5066204,1.0,80
ศ,ฮ,0.48927101,1.0,80
ฮ,ศ,0.48927101,1.0,80
ุ,ฯ,0.48599562,1.0,80
ฯ,ุ,0.48599562,0.75,80
๗,๊,0.47968015,1.0,80
๊,๗,0.47968015,1.0,80
ฤ,ๆ,0.47161424,1.0,80
ๆ,ฤ,0.47161424,1.0,80
โ,ใ,0.46477047,1.0,80
ฏ,ฤ,0.46052045,1.0,80
อ,ย,0.4517126,1.0,80
ย,อ,0.4517126,1.0,80
๐,๑,0.44555157,1.0,80
๑,๐,0.44555157,1.0,80
ข,ฃ,0.43452603,0.9,80
ส,ศ,0.41489816,1.0,80
ฬ,ฟ,0.41002768,1.0,80
ฟ,ฬ,0.41002768,1.0,80
ล,ส,0.40275538,0.9,80
ม,น,0.40013024,0.85,80
เ,์,0.39475316,0.9,80
ป,ฟ,0.3870305,0.95,80
ก,ค,0.38548195,1.0,80
๒,๗,0.36270887,1.0,80
๓,๗,0.34244183,0.8,80
ง,จ,0.28607526,1.0,80
ษ,บ,0.26267874,1.0,80
๖,๔,0.24858908,1.0,80
