label,class,train_count,val_support,precision,recall,f1,raw_count,tier
2,ฃ,81,1,0.0,0.0,0.0,81,80-99
70,๘,85,5,0.3333333333333333,0.2,0.25,85,80-99
46,ึ,83,3,0.16666666666666666,0.3333333333333333,0.2222222222222222,83,80-99
47,ื,92,12,1.0,0.5833333333333334,0.7368421052631579,92,80-99
43,า,100,20,0.8,0.6,0.6857142857142857,100,>=100
49,ู,100,20,0.6086956521739131,0.7,0.6511627906976745,100,>=100
41,ฯ,84,4,1.0,0.75,0.8571428571428571,84,80-99
15,ด,100,20,0.8888888888888888,0.8,0.8421052631578947,100,>=100
37,ห,100,20,1.0,0.8,0.8888888888888888,100,>=100
65,๓,85,5,1.0,0.8,0.8888888888888888,85,80-99
8,ซ,100,20,0.8888888888888888,0.8,0.8421052631578947,100,>=100
7,ช,100,20,0.85,0.85,0.85,100,>=100
42,ั,100,20,0.85,0.85,0.85,100,>=100
28,ม,100,20,1.0,0.85,0.918918918918919,100,>=100
59,้,100,20,0.9444444444444444,0.85,0.8947368421052632,100,>=100
55,ๅ,100,20,0.68,0.85,0.7555555555555555,100,>=100
45,ี,100,20,0.8947368421052632,0.85,0.8717948717948718,100,>=100
18,ท,100,20,0.8947368421052632,0.85,0.8717948717948718,100,>=100
16,ต,100,20,1.0,0.9,0.9473684210526315,100,>=100
3,ค,100,20,0.9,0.9,0.9,100,>=100
1,ข,100,20,1.0,0.9,0.9473684210526315,100,>=100
50,เ,100,20,1.0,0.9,0.9473684210526315,100,>=100
32,ล,100,20,1.0,0.9,0.9473684210526315,100,>=100
19,ธ,100,20,1.0,0.95,0.9743589743589743,100,>=100
61,์,100,20,1.0,0.95,0.9743589743589743,100,>=100
21,บ,100,20,0.95,0.95,0.95,100,>=100
22,ป,100,20,0.9047619047619048,0.95,0.926829268292683,100,>=100
14,ณ,100,20,1.0,0.95,0.9743589743589743,100,>=100
11,ฐ,100,20,1.0,0.95,0.9743589743589743,100,>=100
30,ร,100,20,1.0,0.95,0.9743589743589743,100,>=100
52,โ,100,20,1.0,1.0,1.0,100,>=100
48,ุ,100,20,0.9523809523809523,1.0,0.975609756097561,100,>=100
51,แ,84,4,1.0,1.0,1.0,84,80-99
0,ก,100,20,0.9523809523809523,1.0,0.975609756097561,100,>=100
54,ไ,100,20,0.9523809523809523,1.0,0.975609756097561,100,>=100
56,ๆ,100,20,1.0,1.0,1.0,100,>=100
57,็,100,20,0.8,1.0,0.8888888888888888,100,>=100
58,่,100,20,0.8,1.0,0.8888888888888888,100,>=100
62,๐,97,17,1.0,1.0,1.0,97,80-99
63,๑,89,9,0.6923076923076923,1.0,0.8181818181818182,89,80-99
64,๒,88,8,1.0,1.0,1.0,88,80-99
66,๔,83,3,1.0,1.0,1.0,83,80-99
67,๕,83,3,1.0,1.0,1.0,83,80-99
68,๖,82,2,1.0,1.0,1.0,82,80-99
69,๗,81,1,0.5,1.0,0.6666666666666666,81,80-99
53,ใ,100,20,1.0,1.0,1.0,100,>=100
60,๊,90,10,0.8333333333333334,1.0,0.9090909090909091,90,80-99
35,ษ,100,20,1.0,1.0,1.0,100,>=100
40,ฮ,82,2,1.0,1.0,1.0,82,80-99
4,ง,100,20,1.0,1.0,1.0,100,>=100
5,จ,100,20,0.9523809523809523,1.0,0.975609756097561,100,>=100
6,ฉ,89,9,1.0,1.0,1.0,89,80-99
9,ญ,100,20,0.9523809523809523,1.0,0.975609756097561,100,>=100
10,ฏ,86,6,1.0,1.0,1.0,86,80-99
12,ฑ,81,1,1.0,1.0,1.0,81,80-99
13,ฒ,90,10,1.0,1.0,1.0,90,80-99
17,ถ,100,20,1.0,1.0,1.0,100,>=100
20,น,100,20,1.0,1.0,1.0,100,>=100
23,ผ,100,20,1.0,1.0,1.0,100,>=100
24,ฝ,87,7,0.7,1.0,0.8235294117647058,87,80-99
25,พ,100,20,0.9090909090909091,1.0,0.9523809523809523,100,>=100
26,ฟ,100,20,1.0,1.0,1.0,100,>=100
27,ภ,100,20,1.0,1.0,1.0,100,>=100
29,ย,100,20,1.0,1.0,1.0,100,>=100
31,ฤ,83,3,1.0,1.0,1.0,83,80-99
33,ว,100,20,0.9523809523809523,1.0,0.975609756097561,100,>=100
34,ศ,98,18,1.0,1.0,1.0,98,80-99
36,ส,100,20,1.0,1.0,1.0,100,>=100
38,ฬ,81,1,1.0,1.0,1.0,81,80-99
39,อ,100,20,1.0,1.0,1.0,100,>=100
44,ิ,89,9,0.9,1.0,0.9473684210526315,89,80-99
71,๙,83,3,1.0,1.0,1.0,83,80-99
